"","Actinobacillus","Actinomyces","Capnocytophaga","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Abiotrophia","Lautropia","Staphylococcus","Klebsiella","Moraxella","Pseudomonas","Lactobacillus","Aspergillus","Botrytis","Candida","Clavispora","Cryptococcus","Penicillium","Saccharomyces","Schizophyllum","Trichosporon","unidentified","PIV3","PIV4","RV","Boca"
"Actinobacillus",1,0.160882270429927,0.0959522326321061,0.127857957235542,0.282112912434026,0.140654204481034,0.0779185908006063,0.157568717881458,0.109306584891942,0.173355640918501,0.141334233810198,0.141858473840193,0.0987619504532078,0.146935414269161,0.0489454541014721,0.0505921619281758,0.0199121692174464,0.0891222221552266,0.0376829050941709,0.0437966772033481,0.0260685865184456,0.114670972369269,0.000306487160843805,0.0539023708769725,0.00138147164333657,0.00308421722814545,0.144268401537204,0.0254674380484131,0.0183742453887157,0.0828988772865457,0.0871891144007898,0.02498510458564,0.0107744433216206,0.305880364337921,0.000153023742727409
"Actinomyces",0.160882270429927,1,0.202810858672036,0.31259194449605,0.36205605532262,0.390414933422721,0.164860616459339,0.442358286993547,0.273307858403911,0.302944505917292,0.587897800139761,0.426853599991761,0.254117439500665,0.64778913654252,0.147554563845362,0.103640768297604,0.0645624076009632,0.0722277553752917,0.0407881933451654,0.119199392844368,0.112261932966981,0.188529251983719,0.00784989179963858,0.0724393327446614,0.00373721903873037,0.00839990129821933,0.0947332542628369,0.169005329527417,0.106594041398327,0.0639680527551318,0.210844406874627,0.0558297764625649,0.0528603882379151,0.0637866552031211,0.0305097159280463
"Capnocytophaga",0.0959522326321061,0.202810858672036,1,0.362052822162924,0.122645042760559,0.19520698892573,0.0430137894219073,0.437954261398831,0.0741580992138025,0.214058667184568,0.142831813302441,0.081529613590016,0.0465649362601691,0.186332609115541,0.179318992170372,0.270112334555689,0.0322736479590293,0.0112094885675745,0.0198072808465357,0.0422173628710163,0.0510517059998977,0.0502260152094168,0.00457500281239231,0.0126241889166396,0.00396778732017933,0.00717725212897857,0.0520210766568099,0.072777333264635,0.0480608503848783,0.04574911922758,0.0704878482836941,0.0130278024418727,0.013217418415753,0.00167028874952602,0.0254438668739259
"Fusobacterium",0.127857957235542,0.31259194449605,0.362052822162924,1,0.254083741785692,0.286416273038751,0.0750989606374234,0.390871164987325,0.142668777568775,0.431396486445761,0.212649874059179,0.143137631883803,0.0899556687420058,0.264411753020778,0.0940003888962563,0.171078924444412,0.0964589603670118,0.0418722689552385,0.0365041033444197,0.0519047908188667,0.108984423763669,0.0672499927035496,0.00264039217353995,0.0239116464978446,0.0069274497882813,0.006437940788109,0.043926334506875,0.0944054115416549,0.0440757089885317,0.0375969792237525,0.116302797784996,0.0224672602887676,0.0134695826083561,0.00523284611830577,0.0155579501291845
"Gemella",0.282112912434026,0.36205605532262,0.122645042760559,0.254083741785692,1,0.417165748467216,0.13728747374736,0.332583242588282,0.272542002089558,0.309465271393983,0.267859440878581,0.302306562966088,0.194113337240022,0.312921799487746,0.113594979952915,0.0924845983842113,0.100051678443398,0.078235760668253,0.0857741682533721,0.0747528716084174,0.0253965039381867,0.153833609086207,0.00561072284747255,0.0529529552788954,0.0119939122187782,0.00338404191605612,0.116879884268007,0.109139755929361,0.0626132005118115,0.0700283658459551,0.180274193345625,0.0468811004605755,0.0272335763094451,0.00356059735185799,0.00869927976379348
"Granulicatella",0.140654204481034,0.390414933422721,0.19520698892573,0.286416273038751,0.417165748467216,1,0.126920551709438,0.388770644237237,0.214181441055003,0.2642569592269,0.292264758313903,0.232982030868991,0.142130987160611,0.340268224937616,0.193508851874159,0.147220394481214,0.0598369368460083,0.0348701295261193,0.0871744796650319,0.0541966510969619,0.0581445225512726,0.108696849224092,0.0249357600224497,0.0375999008743743,0.0154251305898861,0.00579508220041136,0.0927369138993923,0.0935616301818082,0.0332471751502651,0.04437762796133,0.156890948276085,0.0304911421205268,0.0344816006431312,0.00707073828972982,0.0215515675892026
"Haemophilus",0.0779185908006063,0.164860616459339,0.0430137894219073,0.0750989606374234,0.13728747374736,0.126920551709438,1,0.110903312227064,0.220433029554615,0.124859488486359,0.189549317527289,0.251698781181923,0.297391780393631,0.17602188683135,0.0168153406957241,0.0389700092562173,0.0236462213641681,0.0385201729908392,0.106024717202286,0.0711638587220015,0.0225509583767199,0.138599689701348,0.00532906373597475,0.288086324881634,0.00506183026285845,0.0357506750679958,0.100935754524197,0.0969877431172712,0.0120302411140996,0.0181190175919624,0.212639630784746,0.272348554492176,0.0572102879014019,0.00696309956401531,0.103180511033913
"Leptotrichia",0.157568717881458,0.442358286993547,0.437954261398831,0.390871164987325,0.332583242588282,0.388770644237237,0.110903312227064,1,0.186331588855884,0.244184462005125,0.32720771732791,0.203324740674213,0.113832555388249,0.441948200542575,0.154884875814008,0.262618554848743,0.0474929048291366,0.0308412968968377,0.0314824191292704,0.0679481364265022,0.0745443807207445,0.111957625589123,0.00458194360424313,0.0298633964048506,0.00303141962414721,0.00599934309348737,0.0830263041693127,0.123292631504464,0.0412178118930924,0.0604883113654263,0.148014977429635,0.0302757210560117,0.074087161288675,0.0123226090797213,0.0264230712358727
"Neisseria",0.109306584891942,0.273307858403911,0.0741580992138025,0.142668777568775,0.272542002089558,0.214181441055003,0.220433029554615,0.186331588855884,1,0.214141310025566,0.338639368912786,0.45126297422505,0.376095899711754,0.233429377461512,0.0501192947652233,0.0607079035023959,0.0414301883402625,0.0465513529864229,0.0737114030415006,0.143151243497007,0.0147751226912215,0.288357131918867,0.00338571948172273,0.145456383035397,0.000909430071852402,0.00772452457538031,0.0631848276957292,0.202080920459021,0.0081661105413473,0.0814864517348325,0.270933751372078,0.139742143772236,0.0833033247697693,0.0409836034186065,0.0268753861436601
"Porphyromonas",0.173355640918501,0.302944505917292,0.214058667184568,0.431396486445761,0.309465271393983,0.2642569592269,0.124859488486359,0.244184462005125,0.214141310025566,1,0.268488101644557,0.226672654795903,0.159456292332024,0.269161553256925,0.0705713243127566,0.092293009822347,0.0372073453722603,0.037669926924685,0.128314191445309,0.0697015059658139,0.0835311564521933,0.141705224711948,0.00538645949154137,0.0608968463887073,0.0113996912992341,0.00320558893088108,0.0338033709389635,0.117305094924841,0.0452537564815834,0.0469279338808669,0.153290368559973,0.0426002508134369,0.0188334117147739,0.00479586624121564,0.0270959520383712
